template_code,section_number,item_order,activity_key,recommended_activity_type,safe_placeholder_module,default_name,purpose,completion_mode,completion_required,gradebook_category,default_points,visible,pii_safe_note,completion_rule,unlock_next,grade_to_pass
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,5,chapter04_assignment,assign,page,Chapter 4 - Assignment,"Worksheet, notebook work, activity-based task, lab record, commerce problem set, or writing task",2,1,Assignments and Projects,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,6,chapter04_completion_gate,quiz,page,Chapter 4 - Completion Gate,Required completion quiz or teacher checkpoint that unlocks Chapter 5,2,1,Chapter Gates,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",passgrade,1,40
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,1,chapter05_overview,page,page,Chapter 5 - Overview,Learning objectives keywords and success criteria for Chapter 5,2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,2,chapter05_study_material,book,page,Chapter 5 - Study Material,"Teacher notes, textbook reading, diagrams, examples, videos, or DIKSHA/NCERT references",2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,3,chapter05_discussion,forum,page,Chapter 5 - Discussion,Guided reflection or doubt-clearing discussion,2,1,Classwork and Participation,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,4,chapter05_practice_quiz,quiz,page,Chapter 5 - Practice Quiz,Low-stakes MCQ or short-answer practice for the chapter,2,1,Practice Quizzes,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",grade,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,5,chapter05_assignment,assign,page,Chapter 5 - Assignment,"Worksheet, notebook work, activity-based task, lab record, commerce problem set, or writing task",2,1,Assignments and Projects,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,6,chapter05_completion_gate,quiz,page,Chapter 5 - Completion Gate,Required completion quiz or teacher checkpoint that unlocks Chapter 6,2,1,Chapter Gates,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",passgrade,1,40
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,1,chapter06_overview,page,page,Chapter 6 - Overview,Learning objectives keywords and success criteria for Chapter 6,2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,2,chapter06_study_material,book,page,Chapter 6 - Study Material,"Teacher notes, textbook reading, diagrams, examples, videos, or DIKSHA/NCERT references",2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,3,chapter06_discussion,forum,page,Chapter 6 - Discussion,Guided reflection or doubt-clearing discussion,2,1,Classwork and Participation,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,4,chapter06_practice_quiz,quiz,page,Chapter 6 - Practice Quiz,Low-stakes MCQ or short-answer practice for the chapter,2,1,Practice Quizzes,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",grade,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,5,chapter06_assignment,assign,page,Chapter 6 - Assignment,"Worksheet, notebook work, activity-based task, lab record, commerce problem set, or writing task",2,1,Assignments and Projects,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,6,chapter06_completion_gate,quiz,page,Chapter 6 - Completion Gate,Required completion quiz or teacher checkpoint that unlocks Chapter 7,2,1,Chapter Gates,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",passgrade,1,40
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,1,chapter07_overview,page,page,Chapter 7 - Overview,Learning objectives keywords and success criteria for Chapter 7,2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,2,chapter07_study_material,book,page,Chapter 7 - Study Material,"Teacher notes, textbook reading, diagrams, examples, videos, or DIKSHA/NCERT references",2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,3,chapter07_discussion,forum,page,Chapter 7 - Discussion,Guided reflection or doubt-clearing discussion,2,1,Classwork and Participation,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,4,chapter07_practice_quiz,quiz,page,Chapter 7 - Practice Quiz,Low-stakes MCQ or short-answer practice for the chapter,2,1,Practice Quizzes,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",grade,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,5,chapter07_assignment,assign,page,Chapter 7 - Assignment,"Worksheet, notebook work, activity-based task, lab record, commerce problem set, or writing task",2,1,Assignments and Projects,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,6,chapter07_completion_gate,quiz,page,Chapter 7 - Completion Gate,Required completion quiz or teacher checkpoint that unlocks Chapter 8,2,1,Chapter Gates,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",passgrade,1,40
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,1,chapter08_overview,page,page,Chapter 8 - Overview,Learning objectives keywords and success criteria for Chapter 8,2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,2,chapter08_study_material,book,page,Chapter 8 - Study Material,"Teacher notes, textbook reading, diagrams, examples, videos, or DIKSHA/NCERT references",2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,3,chapter08_discussion,forum,page,Chapter 8 - Discussion,Guided reflection or doubt-clearing discussion,2,1,Classwork and Participation,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,4,chapter08_practice_quiz,quiz,page,Chapter 8 - Practice Quiz,Low-stakes MCQ or short-answer practice for the chapter,2,1,Practice Quizzes,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",grade,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,5,chapter08_assignment,assign,page,Chapter 8 - Assignment,"Worksheet, notebook work, activity-based task, lab record, commerce problem set, or writing task",2,1,Assignments and Projects,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,6,chapter08_completion_gate,quiz,page,Chapter 8 - Completion Gate,Required completion quiz or teacher checkpoint that unlocks Chapter 9,2,1,Chapter Gates,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",passgrade,1,40
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,1,chapter09_overview,page,page,Chapter 9 - Overview,Learning objectives keywords and success criteria for Chapter 9,2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,2,chapter09_study_material,book,page,Chapter 9 - Study Material,"Teacher notes, textbook reading, diagrams, examples, videos, or DIKSHA/NCERT references",2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,3,chapter09_discussion,forum,page,Chapter 9 - Discussion,Guided reflection or doubt-clearing discussion,2,1,Classwork and Participation,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,4,chapter09_practice_quiz,quiz,page,Chapter 9 - Practice Quiz,Low-stakes MCQ or short-answer practice for the chapter,2,1,Practice Quizzes,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",grade,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,5,chapter09_assignment,assign,page,Chapter 9 - Assignment,"Worksheet, notebook work, activity-based task, lab record, commerce problem set, or writing task",2,1,Assignments and Projects,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,6,chapter09_completion_gate,quiz,page,Chapter 9 - Completion Gate,Required completion quiz or teacher checkpoint that unlocks Chapter 10,2,1,Chapter Gates,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",passgrade,1,40
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,1,chapter10_overview,page,page,Chapter 10 - Overview,Learning objectives keywords and success criteria for Chapter 10,2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,2,chapter10_study_material,book,page,Chapter 10 - Study Material,"Teacher notes, textbook reading, diagrams, examples, videos, or DIKSHA/NCERT references",2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,3,chapter10_discussion,forum,page,Chapter 10 - Discussion,Guided reflection or doubt-clearing discussion,2,1,Classwork and Participation,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,4,chapter10_practice_quiz,quiz,page,Chapter 10 - Practice Quiz,Low-stakes MCQ or short-answer practice for the chapter,2,1,Practice Quizzes,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",grade,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,5,chapter10_assignment,assign,page,Chapter 10 - Assignment,"Worksheet, notebook work, activity-based task, lab record, commerce problem set, or writing task",2,1,Assignments and Projects,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,6,chapter10_completion_gate,quiz,page,Chapter 10 - Completion Gate,Required completion quiz or teacher checkpoint that unlocks final revision,2,1,Chapter Gates,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",passgrade,1,40
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,1,final_revision_notes,page,page,Final Revision Notes,Teacher-curated revision plan and board exam or annual exam checklist,2,1,Final Assessment,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,2,final_mock_test,quiz,page,Final Mock Test,Final chapter-integrated quiz or board-style practice test,2,1,Final Assessment,50,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",passgrade,0,40
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,3,final_project_or_practical,assign,page,Final Project or Practical,"Project, lab practical, portfolio, oral assessment, commerce case study, or writing portfolio",2,1,Final Assessment,50,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,4,course_feedback,feedback,page,Course Feedback,Student reflection and course feedback,2,1,Classwork and Participation,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",submit,0,
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,5,completion_summary,page,page,Completion Summary,Completion checklist next steps badge or certificate guidance,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions.",view,0,
