template_code,section_number,item_order,activity_key,recommended_activity_type,safe_placeholder_module,default_name,purpose,completion_mode,completion_required,gradebook_category,default_points,visible,pii_safe_note
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,5,u2_discussion,forum,page,Unit 1: Discussion / Reflection,"Forum, question, journal, or class activity",2,1,Practice / Classwork,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,6,u2_knowledge_check,quiz,page,Unit 1: Knowledge Check,Short quiz or auto-graded check,2,1,Quizzes / Knowledge Checks,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,2,7,u2_completion_task,assign,page,Unit 1: Completion Task,Required task for progress tracking,2,1,Assignments / Projects,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,1,u3_intro,page,page,Unit 2: Lesson Introduction,What students will learn in this unit,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,2,u3_material,page,page,Unit 2: Learning Material,Video/PDF/Page/Book/SCORM/H5P/external content placeholder,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,3,u3_guided_example,page,page,Unit 2: Guided Example,Teacher explanation or worked example,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,4,u3_practice,assign,page,Unit 2: Practice Activity,"Worksheet, assignment, H5P, or exercise",2,1,Practice / Classwork,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,5,u3_discussion,forum,page,Unit 2: Discussion / Reflection,"Forum, question, journal, or class activity",2,1,Practice / Classwork,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,6,u3_knowledge_check,quiz,page,Unit 2: Knowledge Check,Short quiz or auto-graded check,2,1,Quizzes / Knowledge Checks,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,3,7,u3_completion_task,assign,page,Unit 2: Completion Task,Required task for progress tracking,2,1,Assignments / Projects,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,1,u4_intro,page,page,Unit 3: Lesson Introduction,What students will learn in this unit,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,2,u4_material,page,page,Unit 3: Learning Material,Video/PDF/Page/Book/SCORM/H5P/external content placeholder,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,3,u4_guided_example,page,page,Unit 3: Guided Example,Teacher explanation or worked example,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,4,u4_practice,assign,page,Unit 3: Practice Activity,"Worksheet, assignment, H5P, or exercise",2,1,Practice / Classwork,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,5,u4_discussion,forum,page,Unit 3: Discussion / Reflection,"Forum, question, journal, or class activity",2,1,Practice / Classwork,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,6,u4_knowledge_check,quiz,page,Unit 3: Knowledge Check,Short quiz or auto-graded check,2,1,Quizzes / Knowledge Checks,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,4,7,u4_completion_task,assign,page,Unit 3: Completion Task,Required task for progress tracking,2,1,Assignments / Projects,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,1,u6_intro,page,page,Unit 4: Lesson Introduction,What students will learn in this unit,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,2,u6_material,page,page,Unit 4: Learning Material,Video/PDF/Page/Book/SCORM/H5P/external content placeholder,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,3,u6_guided_example,page,page,Unit 4: Guided Example,Teacher explanation or worked example,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,4,u6_practice,assign,page,Unit 4: Practice Activity,"Worksheet, assignment, H5P, or exercise",2,1,Practice / Classwork,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,5,u6_discussion,forum,page,Unit 4: Discussion / Reflection,"Forum, question, journal, or class activity",2,1,Practice / Classwork,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,6,u6_knowledge_check,quiz,page,Unit 4: Knowledge Check,Short quiz or auto-graded check,2,1,Quizzes / Knowledge Checks,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,6,7,u6_completion_task,assign,page,Unit 4: Completion Task,Required task for progress tracking,2,1,Assignments / Projects,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,1,u7_intro,page,page,Unit 5: Lesson Introduction,What students will learn in this unit,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,2,u7_material,page,page,Unit 5: Learning Material,Video/PDF/Page/Book/SCORM/H5P/external content placeholder,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,3,u7_guided_example,page,page,Unit 5: Guided Example,Teacher explanation or worked example,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,4,u7_practice,assign,page,Unit 5: Practice Activity,"Worksheet, assignment, H5P, or exercise",2,1,Practice / Classwork,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,5,u7_discussion,forum,page,Unit 5: Discussion / Reflection,"Forum, question, journal, or class activity",2,1,Practice / Classwork,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,6,u7_knowledge_check,quiz,page,Unit 5: Knowledge Check,Short quiz or auto-graded check,2,1,Quizzes / Knowledge Checks,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,7,7,u7_completion_task,assign,page,Unit 5: Completion Task,Required task for progress tracking,2,1,Assignments / Projects,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,1,u8_intro,page,page,Unit 6: Lesson Introduction,What students will learn in this unit,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,2,u8_material,page,page,Unit 6: Learning Material,Video/PDF/Page/Book/SCORM/H5P/external content placeholder,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,3,u8_guided_example,page,page,Unit 6: Guided Example,Teacher explanation or worked example,2,1,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,4,u8_practice,assign,page,Unit 6: Practice Activity,"Worksheet, assignment, H5P, or exercise",2,1,Practice / Classwork,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,5,u8_discussion,forum,page,Unit 6: Discussion / Reflection,"Forum, question, journal, or class activity",2,1,Practice / Classwork,5,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,6,u8_knowledge_check,quiz,page,Unit 6: Knowledge Check,Short quiz or auto-graded check,2,1,Quizzes / Knowledge Checks,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,8,7,u8_completion_task,assign,page,Unit 6: Completion Task,Required task for progress tracking,2,1,Assignments / Projects,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,1,checkpoint_revision,page,page,Checkpoint Revision Guide,Short revision notes before checkpoint assessment,1,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,2,checkpoint_quiz,quiz,page,Checkpoint Assessment 1 - Quiz,Mid-course quiz or short test,2,1,Mid-course / Checkpoint Assessment,30,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,5,3,checkpoint_assignment,assign,page,Checkpoint Assessment 1 - Assignment,Teacher-marked checkpoint assessment,2,1,Mid-course / Checkpoint Assessment,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,1,remediation_plan,page,page,Remediation Plan,Extra support plan and re-teaching resources,1,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,9,2,remediation_practice,quiz,page,Remediation Practice Check,Low-stakes retake or support quiz,2,1,Practice / Classwork,10,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,1,final_review_notes,page,page,Final Review Notes,Revision notes and exam guide,1,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,10,2,mock_test,quiz,page,Mock Test / Practice Test,Practice final assessment,2,1,Quizzes / Knowledge Checks,20,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,1,final_assessment,quiz,page,Final Assessment,Final test or board-prep assessment,2,1,Final Assessment,50,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,11,2,final_project,assign,page,Final Project / Portfolio / Practical,"Final project, oral exam, practical, or portfolio",2,1,Assignments / Projects,50,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,1,course_feedback,feedback,page,Course Feedback,Student feedback on the course,1,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,2,completion_summary,page,page,Completion Summary,Completion checklist and next steps,1,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
MASTER_ALL_GRADES_ALL_SUBJECTS_STANDARD,12,3,certificate_badge,customcert_or_badge,page,Certificate / Badge Instructions,Use Moodle badge by default; use Custom certificate plugin only if installed,1,0,,0,1,"Do not add Aadhaar, personal address, health details, or parent phone numbers inside course content or activity instructions."
